x0000,y0000,Распределение Пуассона (по выборочному среднему)_x,Распределение Пуассона (по выборочному среднему)_y,Распределение Пуассона (по выборочному СКО)_x,Распределение Пуассона (по выборочному СКО)_y,Распределение Гаусса_x,Распределение Гаусса_y
-0.5,0.,0.,0.0164843666,0.,0.0237829445,0.,0.2728384748
0.5,0.,1.,0.1666157359,1.,0.2316683245,1.,0.7315610603
1.5,1.,2.,0.8420342751,2.,1.1283340586,2.,1.7701542511
2.5,1.,3.,2.8369538117,3.,3.6636795321,3.,3.8653356143
3.5,7.,4.,7.168627663,4.,8.9219240602,4.,7.6169107744
4.5,18.,5.,14.4913808207,5.,17.3815920824,5.,13.5452209098
5.5,30.,6.,24.4119386076,6.,28.2188517933,6.,21.7374642428
6.5,23.,7.,35.2490956395,7.,39.268321144,7.,31.4809067557
7.5,45.,8.,44.535029272,8.,47.8138134275,8.,41.1434920406
8.5,50.,9.,50.0153120407,9.,51.7501852301,9.,48.5255682908
9.5,41.,10.,50.5529766452,10.,50.4095643378,10.,51.6482576215
10.5,56.,11.,46.4512919492,11.,44.6397027888,11.,49.6085215108
11.5,47.,12.,39.1255361147,12.,36.2360694902,12.,43.0003961821
12.5,25.,13.,30.4201043292,13.,27.1518088173,13.,33.6359884082
13.5,23.,14.,21.9622288934,14.,18.8917316000,14.,23.7438694347
14.5,17.,15.,14.7988819026,15.,12.2682196571,15.,15.1256609394
15.5,7.,16.,9.3487311769,16.,7.4690023495,16.,8.6954645825
16.5,4.,17.,5.5583706101,17.,4.2797136327,17.,4.5111449745
17.5,2.,18.,3.1211794967,18.,2.3160249868,18.,2.1120118086
18.5,2.,19.,1.660385356,19.,1.1873825852,19.,0.8923217196
19.5,0.,20.,0.8391172493,20.,0.5783113486,20.,0.3402218096
20.5,0.,21.,0.4038751237,21.,0.2682523008,21.,0.1170626633
21.5,0.,22.,0.1855530824,22.,0.118774117,22.,0.0363488115
22.5,1.,23.,0.0815425122,23.,0.0503031301,23.,0.0101853884
23.5,,,,,,,
