x0000,y0000,Распределение Пуассона (по выборочному среднему)_x,Распределение Пуассона (по выборочному среднему)_y,Распределение Пуассона (по выборочному СКО)_x,Распределение Пуассона (по выборочному СКО)_y,Распределение Гаусса_x,Распределение Гаусса_y
-0.5,0.00575,0.,0.0064479050,0.,0.0079065480,0.,0.0130931390
0.5,0.03025,1.,0.0325232331,1.,0.0382681984,1.,0.0334790180
1.5,0.0755,2.,0.0820235938,2.,0.0926102648,2.,0.0696261794
2.5,0.145,3.,0.1379090023,3.,0.1494132028,3.,0.1177723498
3.5,0.1725,4.,0.1739032519,4.,0.1807923660,4.,0.1620261219
4.5,0.1795,5.,0.1754336005,5.,0.1750093245,5.,0.1812999381
5.5,0.1535,6.,0.1474811802,6.,0.1411760552,6.,0.1649989559
6.5,0.1045,7.,0.1062707247,7.,0.0976144489,7.,0.1221337405
7.5,0.0665,8.,0.0670036919,8.,0.0590575225,8.,0.0735294033
8.5,0.0345,9.,0.0375518469,9.,0.0317602432,9.,0.0360045466
9.5,0.0195,10.,0.0189411516,10.,0.015372161,10.,0.0143391885
10.5,0.00875,11.,0.008685379,11.,0.0067638403,11.,0.0046447541
11.5,0.00275,12.,0.0036507543,12.,0.0027281183,12.,0.0012236911
12.5,0.0005,13.,0.0014164927,13.,0.0010157129,13.,0.0002622115
13.5,0.00075,14.,0.0005103421,14.,0.0003511511,14.,0.0000456986
14.5,0.,15.,0.0001716110,15.,0.0001133063,15.,0.0000064778
15.5,0.00025,16.,0.0000541004,16.,0.0000342756,16.,0.0000007468
16.5,,,,,,,
