x0000,y0000,Распределение Пуассона (по выборочному среднему)_x,Распределение Пуассона (по выборочному среднему)_y,Распределение Пуассона (по выборочному СКО)_x,Распределение Пуассона (по выборочному СКО)_y,Распределение Гаусса_x,Распределение Гаусса_y
-0.5,0.00575,0.,0.0066892735,0.,0.0075124214,0.,0.0139025199
0.5,0.03525,1.,0.0334948649,1.,0.0367447365,1.,0.0349379096
1.5,0.07475,2.,0.0838585812,2.,0.0898628804,2.,0.0715664169
2.5,0.1415,3.,0.1399669602,3.,0.1465123634,3.,0.1194897344
3.5,0.18075,4.,0.1752123904,4.,0.1791552242,4.,0.1626151046
4.5,0.18175,5.,0.1754664484,5.,0.1752567147,5.,0.1803848815
5.5,0.147,6.,0.1464340623,6.,0.1428691989,6.,0.1630978939
6.5,0.10325,7.,0.1047474226,7.,0.09982878,7.,0.1202002956
7.5,0.06225,8.,0.0655620665,8.,0.0610352841,8.,0.0722057334
8.5,0.0375,9.,0.0364761842,9.,0.0331706250,9.,0.0353546707
9.5,0.01675,10.,0.0182645373,10.,0.0162244076,10.,0.0141101255
10.5,0.007,11.,0.0083141004,11.,0.0072142528,11.,0.0045901187
11.5,0.004,12.,0.0034692316,12.,0.0029405279,12.,0.0012170991
12.5,0.0015,13.,0.0013362546,13.,0.0011063617,13.,0.0002630491
13.5,0.001,14.,0.0004779258,14.,0.000386531,14.,0.0000463401
14.5,,,,,,,
