x0000,y0000,Распределение Пуассона (по выборочному среднему)_x,Распределение Пуассона (по выборочному среднему)_y,Распределение Пуассона (по выборочному СКО)_x,Распределение Пуассона (по выборочному СКО)_y,Распределение Гаусса_x,Распределение Гаусса_y
-0.5,0.,0.,0.0000000000,0.,0.0000000000,0.,0.0000000000
0.5,0.,1.,0.0000000000,1.,0.0000000000,1.,0.0000000000
1.5,0.,2.,0.0000000000,2.,0.0000000000,2.,0.0000000000
2.5,0.,3.,0.0000000000,3.,0.0000000000,3.,0.0000000000
3.5,0.,4.,0.0000000000,4.,0.0000000000,4.,0.0000000000
4.5,0.,5.,0.0000000000,5.,0.0000000000,5.,0.0000000000
5.5,0.,6.,0.0000000000,6.,0.0000000000,6.,0.0000000000
6.5,0.,7.,0.0000000000,7.,0.0000000000,7.,0.0000000000
7.5,0.,8.,0.0000000000,8.,0.0000000000,8.,0.0000000000
8.5,0.,9.,0.0000000000,9.,0.0000000000,9.,0.0000000000
9.5,0.,10.,0.0000000000,10.,0.0000000000,10.,0.0000000000
10.5,0.,11.,0.0000000000,11.,0.0000000000,11.,0.0000000000
11.5,0.,12.,0.0000000000,12.,0.0000000000,12.,0.0000000000
12.5,0.,13.,0.0000000000,13.,0.0000000000,13.,0.0000000000
13.5,0.,14.,0.0000000000,14.,0.0000000000,14.,0.0000000000
14.5,0.,15.,0.0000000000,15.,0.0000000000,15.,0.0000000000
15.5,0.,16.,0.0000000000,16.,0.0000000000,16.,0.0000000000
16.5,0.,17.,0.0000000000,17.,0.0000000000,17.,0.0000000000
17.5,0.,18.,0.0000000000,18.,0.0000000000,18.,0.0000000000
18.5,0.,19.,0.0000000000,19.,0.0000000000,19.,0.0000000000
19.5,0.,20.,0.0000000000,20.,0.0000000000,20.,0.0000000001
20.5,0.,21.,0.0000000000,21.,0.0000000000,21.,0.0000000002
21.5,0.,22.,0.0000000000,22.,0.0000000000,22.,0.0000000003
22.5,0.,23.,0.0000000000,23.,0.0000000000,23.,0.0000000007
23.5,0.,24.,0.0000000000,24.,0.0000000001,24.,0.0000000015
24.5,0.,25.,0.0000000000,25.,0.0000000003,25.,0.0000000032
25.5,0.,26.,0.0000000000,26.,0.0000000007,26.,0.0000000065
26.5,0.,27.,0.0000000001,27.,0.0000000021,27.,0.0000000132
27.5,0.,28.,0.0000000003,28.,0.0000000057,28.,0.0000000266
28.5,0.,29.,0.0000000009,29.,0.000000015,29.,0.0000000528
29.5,0.,30.,0.0000000025,30.,0.0000000382,30.,0.0000001034
30.5,0.,31.,0.0000000065,31.,0.0000000942,31.,0.0000001999
31.5,0.,32.,0.0000000164,32.,0.000000225,32.,0.0000003812
32.5,0.,33.,0.0000000401,33.,0.0000005211,33.,0.0000007177
33.5,0.,34.,0.0000000954,34.,0.0000011716,34.,0.0000013335
34.5,0.,35.,0.0000002203,35.,0.0000025588,35.,0.0000024456
35.5,0.,36.,0.0000004948,36.,0.0000054333,36.,0.0000044269
36.5,0.,37.,0.0000010814,37.,0.0000112249,37.,0.0000079092
37.5,0.,38.,0.0000023010,38.,0.0000225799,38.,0.0000139471
38.5,0.,39.,0.0000047708,39.,0.0000442568,39.,0.0000242745
39.5,0.,40.,0.0000096442,40.,0.0000845752,40.,0.0000417
40.5,0.,41.,0.0000190203,41.,0.0001576819,41.,0.0000707034
41.5,0.,42.,0.0000366185,42.,0.0002869826,42.,0.0001183214
42.5,0.,43.,0.0000688598,43.,0.0005101643,43.,0.0001954361
43.5,0.,44.,0.0001265456,44.,0.0008862992,44.,0.0003186139
44.5,0.,45.,0.0002273884,45.,0.0015055347,45.,0.0005126764
45.5,0.,46.,0.0003997092,46.,0.0025018190,46.,0.0008142174
46.5,0.,47.,0.0006876699,47.,0.0040689372,47.,0.0012763095
47.5,0.,48.,0.0011584373,48.,0.0064798164,48.,0.0019746499
48.5,0.,49.,0.001911658,49.,0.0101085664,49.,0.0030153848
49.5,0.,50.,0.0030915333,50.,0.0154540572,50.,0.0045447909
50.5,0.,51.,0.0049015957,51.,0.0231630258,51.,0.0067608857
51.5,0.,52.,0.0076219813,52.,0.0340498261,52.,0.0099268578
52.5,0.,53.,0.0116285549,53.,0.0491091006,53.,0.0143859493
53.5,0.,54.,0.0174126842,54.,0.0695170239,54.,0.0205770814
54.5,1.,55.,0.0255998117,55.,0.0966165293,55.,0.0290500943
55.5,0.,56.,0.0369642996,56.,0.1318822527,56.,0.0404790059
56.5,0.,57.,0.0524374257,57.,0.1768619675,57.,0.055671209
57.5,0.,58.,0.0731050042,58.,0.2330930955,58.,0.0755700985
58.5,1.,59.,0.1001910277,59.,0.3019954145,59.,0.1012483246
59.5,0.,60.,0.1350241084,60.,0.3847441714,60.,0.1338887923
60.5,0.,61.,0.1789844164,61.,0.4821311206,61.,0.1747507807
61.5,0.,62.,0.2334303212,62.,0.5944241244,62.,0.2251192051
62.5,0.,63.,0.2996059646,63.,0.7212383784,63.,0.2862361555
63.5,0.,64.,0.3785334109,64.,0.861433596,64.,0.3592154067
64.5,0.,65.,0.4708955632,65.,1.01305121,65.,0.4449425525
65.5,1.,66.,0.5769184127,66.,1.173303632,66.,0.5439656177
66.5,1.,67.,0.6962630277,67.,1.3386238649,67.,0.6563832352
67.5,0.,68.,0.8279386532,68.,1.5047785836,68.,0.7817394549
68.5,3.,69.,0.9702481086,69.,1.6670416934,69.,0.9189356594
69.5,0.,70.,1.1207751724,70.,1.8204190551,70.,1.0661705923
70.5,0.,71.,1.2764208512,71.,1.9599093062,71.,1.2209188971
71.5,2.,72.,1.4334915282,72.,2.0807812685,72.,1.3799566814
72.5,0.,73.,1.5878373283,73.,2.1788459243,73.,1.5394394547
73.5,1.,74.,1.7350341401,74.,2.2507007296,74.,1.6950335321
74.5,1.,75.,1.8705981409,75.,2.2939261874,75.,1.8420970063
75.5,1.,76.,1.9902179694,76.,2.307218886,76.,1.9759011819
76.5,2.,77.,2.0899873378,77.,2.2904510978,77.,2.0918785506
77.5,2.,78.,2.1666202068,78.,2.2446538217,78.,2.1858795864
78.5,2.,79.,2.2176317712,79.,2.1719270379,79.,2.2544184153
79.5,2.,80.,2.2414713127,80.,2.0752871444,80.,2.2948871489
80.5,3.,81.,2.2375971648,81.,1.9584664127,81.,2.3057205282
81.5,1.,82.,2.2064891066,82.,1.8256823899,82.,2.2864963898
82.5,6.,83.,2.1495989056,83.,1.6813962911,83.,2.2379629655
83.5,2.,84.,2.0692448512,84.,1.5300786315,84.,2.1619905555
84.5,2.,85.,1.968460455,85.,1.3759979132,85.,2.0614519247
85.5,6.,86.,1.8508106092,86.,1.2230445452,86.,1.9400420856
86.5,1.,87.,1.7201901823,87.,1.074597865,87.,1.8020532208
87.5,1.,88.,1.5806202061,88.,0.9334396663,88.,1.6521238337
88.5,2.,89.,1.4360556165,89.,0.8017134997,89.,1.4949824741
89.5,1.,90.,1.2902161905,90.,0.6809255622,90.,1.3352055472
90.5,1.,91.,1.1464492436,91.,0.5719804654,91.,1.1770059984
91.5,2.,92.,1.0076291939,92.,0.4752436474,92.,1.0240655249
92.5,0.,93.,0.8760956625,93.,0.3906216614,93.,0.8794179731
93.5,0.,94.,0.7536286731,94.,0.3176518728,94.,0.7453863754
94.5,0.,95.,0.6414569948,95.,0.2555940655,95.,0.6235712516
95.5,0.,96.,0.5402938813,96.,0.2035178396,96.,0.5148838157
96.5,1.,97.,0.4503934355,97.,0.1603812893,97.,0.4196149170
97.5,0.,98.,0.3716205428,98.,0.1250980603,98.,0.3375290196
98.5,0.,99.,0.3035276474,99.,0.0965913714,99.,0.26797226
99.5,1.,100.,0.2454324557,100.,0.0738348307,100.,0.2099844241
100.5,,,,,,,
